ger,pior,Medio,melhor,dev.padr,ilha
66,1.79576,1.86384,1.86743,0.000243887,ilha_1
66,1.85157,1.86664,1.86743,1.19423e-05,ilha_2
66,-1.78553,1.68477,1.86743,0.633841,ilha_3
66,1.86743,1.86743,1.86743,8.27919e-13,ilha_4
66,-0.0342504,1.77122,1.86743,0.171576,ilha_5
67,-0.0342504,1.76876,1.86743,0.171341,ilha_0
67,1.55338,1.84814,1.86743,0.00481622,ilha_1
67,1.86743,1.86743,1.86743,3.19476e-17,ilha_2
67,1.86743,1.86743,1.86743,1.49288e-12,ilha_3
67,-0.0342504,1.77235,1.86743,0.171779,ilha_4
67,1.86743,1.86743,1.86743,2.19999e-12,ilha_5
68,-1.78553,1.68396,1.86743,0.633557,ilha_0
68,1.84739,1.86643,1.86743,1.9081e-05,ilha_1
68,1.86704,1.86741,1.86743,7.1504e-09,ilha_2
68,1.56683,1.84796,1.86743,0.00440847,ilha_3
68,1.86743,1.86743,1.86743,1.49602e-12,ilha_4
68,1.86738,1.86743,1.86743,1.13969e-10,ilha_5
69,1.86704,1.86741,1.86743,7.36255e-09,ilha_0
69,1.84739,1.86643,1.86743,1.90809e-05,ilha_1
69,-1.39549,1.54114,1.86743,0.958201,ilha_2
69,-1.39549,1.70409,1.86743,0.505656,ilha_3
69,-1.78553,1.68318,1.86743,0.633282,ilha_4
69,-1.39549,1.70412,1.86743,0.505664,ilha_5
70,1.79576,1.86385,1.86743,0.000243972,ilha_0
70,-1.78735,1.68391,1.86743,0.634205,ilha_1
70,1.56683,1.83739,1.86743,0.00812031,ilha_2
70,1.56683,1.8524,1.86743,0.00429206,ilha_3
70,-1.78553,1.68477,1.86743,0.633842,ilha_4
70,1.86704,1.86741,1.86743,7.15637e-09,ilha_5
71,1.86719,1.86742,1.86743,2.81313e-09,ilha_0
71,-1.7797,1.68507,1.86743,0.631822,ilha_1
71,-0.0342504,1.74161,1.86743,0.174439,ilha_2
71,1.86704,1.8674,1.86743,9.50004e-09,ilha_3
71,1.56683,1.85159,1.86743,0.00427963,ilha_4
71,1.79576,1.86385,1.86743,0.000243972,ilha_5
72,1.55338,1.85173,1.86743,0.00468472,ilha_0
72,1.79576,1.86385,1.86743,0.000243972,ilha_1
72,-1.39549,1.70347,1.86743,0.505464,ilha_2
72,1.86719,1.86742,1.86743,2.81313e-09,ilha_3
72,1.79576,1.86385,1.86743,0.000243972,ilha_4
72,-0.0342504,1.74146,1.86743,0.174401,ilha_5
73,1.55338,1.85173,1.86743,0.00468479,ilha_0
73,1.85157,1.86664,1.86743,1.19426e-05,ilha_1
